#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
drunkard_death;from too much drinking;;;;;;;;;;;;;x
POPE;Religious Head;;;;;;;;;;;;;x
temple_contract_0_desc;Landed priests are expected to provide a small amount of troops for the defense of the realm.;Les princes-évêques sont tenus mettre à disposition un petit pourcentage de troupes pour la défense du Royaume.;Die Fürstbischöfe müssen einen kleinen Teil der Truppen zur Verteidigung des Reichs stellen.;;Se espera que los príncipes-obispos proporcionen una pequeña cantidad de tropas para la defensa del reino.;;;;;;;;;x
temple_contract_1_desc;Landed priests are expected to provide a moderate amount of troops for the defense of the realm.;Les princes-évêques sont tenus de mettre à disposition un pourcentage raisonnable de troupes pour la défense du Royaume.;Die Fürstbischöfe müssen einen moderaten Teil der Truppen zur Verteidigung des Reichs stellen.;;Se espera que los príncipes-obispos proporcionen una cantidad moderada de tropas para la defensa del reino.;;;;;;;;;x
temple_contract_2_desc;Landed priests are expected to provide a substantial amount of troops for the defense of the realm. ;Les princes-évêques sont tenus de mettre à disposition un pourcentage important de troupes pour la défense du Royaume. ;Die Fürstbischöfe müssen einen erheblichen Teil der Truppen zur Verteidigung des Reichs stellen.;;Se espera que los príncipes-obispos proporcionen una cantidad sustanciosa de tropas para la defensa del reino..;;;;;;;;;x
temple_contract_3_desc;Landed priests are expected to provide a large amount of troops for the defense of the realm. ;Les princes-évêques sont tenus de mettre à disposition un important pourcentage de troupes pour la défense du Royaume. ;Die Fürstbischöfe müssen einen großen Teil der Truppen zur Verteidigung des Reichs stellen.;;Se espera que los príncipes-obispos proporcionen una gran cantidad de tropas para la defensa del reino..;;;;;;;;;x
investiture_law_desc;This law determines who appoints landed priests - the religious head or the secular liege.;Cette loi détermine qui, du Pape ou du suzerain séculier, nomme les évêques.;Dieses Gesetz legt fest, wer die Bischöfe ernennt - der Papst oder der säkulare Lehnsherr.;;Esta ley determina quién designa a los obispos: el Papa o el señor seglar.;;;;;;;;;x
investiture_law_0;Church Investiture;Investiture papale;Päpstliche Investitur;;Investidura papal;;;;;;;;;x
investiture_law_0_option;Church;Papale;Päpstlich;;Papal;;;;;;;;;x
investiture_law_0_desc;Only the religious head may appoint landed priests within the Realm. This will give the Crown a §G50%§! Piety cost discount when requesting special religious actions, like Divorce and Excommunication.;;;;;;;;;;;;;x
CHURCH_INVESTITURE;Only the religious head may appoint landed priests\n;Seul le Pape peut nommer les évêques.\n;Nur der Papst kann Bischöfe ernennen.\n;;Solo el Papa puede nombrar obispos\n;;;;;;;;;x
FREE_INVESTITURE;Any liege lord may appoint landed priests\n;N'importe quel seigneur peut nommer les évêques.\n;Jeder Lehnsherr kann Bischöfe ernennen.\n;;Cualquier señor feudal puede nombrar obispos\n;;;;;;;;;x
investiture_law_1;Free Investiture;Investiture libre;Freie Investitur;;Libre investidura;;;;;;;;;x
investiture_law_1_option;Free;Libre;Frei;;Libre;;;;;;;;;x
investiture_law_1_desc;Landed priests within the kingdom can be appointed by their secular lieges, and will be more loyal to their liege. The religious head will not be pleased.;Le suzerain séculier peut nommer les évêques du Royaume, ce qui renforce leur loyauté et ne plaît guère au Pape.;Innerhalb des Königreichs dürfen nur säkulare Lehnsherrn Bischöfe ernennen, die ihnen gegenüber dann auch loyaler eingestellt sind. Dies wird dem Papst nicht gefallen.;;Los señores seglares pueden designar a sus obispos del reino, los cuales serán más leales a su señor. Al Papa no le sentará muy bien.;;;;;;;;;x
ANTI_POPE_CREATION_DESC;Creating an Antibishop will allow us to excommunicate any character in our realm, and protect them from excommunication by the official religious head. Bishops who like the Antibishop better than the official head will pay taxes to us instead. However, creating an Antibishop will cost §R$PRESTIGE_COST$§! Prestige and will lower the Moral Authority of the Church by §R$AUTHORITY_LOSS$§!.;;;;;;;;;;;;;x
ANTIPOPE_TOO_LOW_OPINION;§RHe likes the religious head (§Y$POPE$§R) more than us (§Y$US$§R)§!;;;;;;;;;;;;;x
ANTIPOPE_ALREADY_HAVE_ONE;§RWe already control an Antibishop§!;;;;;;;;;;;;;x
ANTI_POPE_CREATION_DESC;Creating an Antibishop will allow us to excommunicate any character in our realm, and protect them from excommunication by the official religious head. Bishops who like the Antibishop better than the official head will pay taxes to us instead. However, creating an Antibishop will cost §R$PRESTIGE_COST$§! Prestige and will lower the Moral Authority of the Church by §R$AUTHORITY_LOSS$§!.;;;;;;;;;;;;;x
BISHOP_LOYALTY_DESC;Priests are not obliged to pay any taxes - or provide levies - to their secular liege. They will pay a religious head or their secular liege depending on who they like best.;;;;;;;;;;;;;x
OPINION_OF_POPE;Opinion of Religious Head;;;;;;;;;;;;;x
REL_INVESTITURE_DESC;$NAME$ priests may pay tax to their religious head rather than their secular liege;;;;;;;;;;;;;x
REL_ANTIPOPES_DESC;$NAME$ Rulers can set up Antibishops;;;;;;;;;;;;;x
HINT_SPLASH_VICTORY;You cannot hold infinite amounts of land yourself. To expand, you will need to rely on vassal rulers. Keep them happy with titles and gifts lest they decide to revolt!;Vous ne pouvez pas détenir un nombre illimité de terres, il faudra donc composer avec des vassaux. Contentez-les à l'aide de titres et de présents pour éviter une révolte !;Als Einzelperson könnt Ihr nicht unendlich viel Land selbst kontrollieren. Um dennoch zu expandieren, müsst Ihr auf Vasallenherrscher setzen. Titel und Geschenke sorgen dafür, dass die Vasallen zufrieden sind und keinen Aufstand anzetteln.;;No puedes mantener cantidades infinitas de tierra. Para expandirte, tendrás que confiar en los gobernantes vasallos. ¡Mantenerlos contentos con títulos y regalos hará que estén menos dispuestos a rebelarse! ;;;;;;;;;x
EVTDESC_SoA_5201;One day at the market, a strange man comes up to you and offers to sell to you what he swears is a finger of a bishop skilled in light magic. You look at it carefully, and it does indeed seem to be a set of old human bones.;;;;;;;;;;;;;x
finger_of_st_john;Finger of a Bishop;;;;;;;;;;;;;x
finger_of_st_john_desc;A finger belonging to an ancient bishop. Although his name is lost, his talent for light magic and healing is well-known.;;;;;;;;;;;;;x
emerald_tablet_desc;Said to have been written by Hermes Trismegistus himself, the Emerald Tablet supposedly holds the secret to the prima materia and its transmutation. Succeeding in deciphering its divine glyphs brings one a step closer to enlightenment and life eternal.;Écrite par Hermès Trismégiste lui-même, la Table d'Émeraude est censée contenir le secret du prima materia et sa transmutation. Quelqu'un qui réussit à déchiffrer ses glyphes divins ferait un pas de plus vers l'illumination et la vie éternelle.;Die Smaragdtafel, von der es heißt, sie sei von Hermes Trismegistos selbst verfasst worden, soll das Geheimnis der Urmaterie und ihrer Transmutation enthalten. Wer ihre göttlichen Glyphen zu entziffern vermag, kommt der Erleuchtung und dem ewigen Leben einen Schritt näher.;;La Tabla de Esmeralda, que algunos atribuyen a Hermes Trimegisto, tiene el propósito de revelar el secreto de la sustancia primordial y sus transmutaciones. Quien logre descifrar sus glifos divinos estará un paso más cerca de la iluminación y de la vida eterna.;;;;;;;;;x
EVTDESC_WoL_6330;The studies you have conducted in your observatory have convinced you that there are many strange things beyond the known cosmos. There are few sources and no one to share knowledge with you, however. But you have heard of a strange old scholar in the desert who is rumored to possess vast knowledge of the weird.;;;;;;;;;;;;;x
EVTDESC670;The ancient [Root.Religion.GetName] religion is proving unable to withstand the onslaught of newer beliefs. Rather than abandoning the old ways, [Root.GetTitledName] and the most powerful priests have decided to reform the [Root.Religion.GetName] faith. With codified rites, a holy scripture and a strict church hierarchy under a single leader, they hope that the reformed [Root.Religion.GetName] faith is better armed to fight back against the weak and effeminate foreign beliefs!;;;;;;;;;;;;;x
opinion_supported_cardinal;Supported Council Election;;;;;;;;;;;;;x
opinion_supported_pope;Supported Election;;;;;;;;;;;;;x
PREFERATI;Expected Successor;;;;;;;;;;;;;x
PREFERATI_TOOLTIP;This is the member of the council most expected to succeed the current religious head.;;;;;;;;;;;;;x
POPE_VOTE_SCORE;§YSuitability: $SCORE$§!;;;;;;;;;;;;;x
CANDIDATE_SCORE;§YAppointment Score§!;;;;;;;;;;;;;x
succ_papal_succession;Council Elective Succession;;;;;;;;;;;;;x
succ_papal_succession_desc;The religious head is elected by a council of clergy depending on age, piety, popularity and other factors.;;;;;;;;;;;;;x
