#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
fe4_belhalla.1.desc;[Root.Liege.GetTitledFirstName] has tried to convince the lords of Grannvale of my innocence without success. There are rumors that the Grannvalean military is mobilizing to attack... I mustn't involve [Root.Liege.PrimaryTitle.GetName] in my conflict any further. I should prepare for the final battle with the real traitors to the realm.;;;;;;;;;;;;;x
fe4_belhalla.1.A;Move out.;;;;;;;;;;;;;x
fe4_belhalla.1.B;No, waiting in [Root.Liege.PrimaryTitle.GetName] is the safer plan.;;;;;;;;;;;;;x
fe4_belhalla.4.desc;[Root.GetTitledFirstName],\nWe have received word that the traitor [FromFrom.GetFullName] has begun rallying [FromFrom.GetHerHis] soldiers. We request that you eliminate this threat to the realm before [FromFrom.GetSheHe] attacks.\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;;;x
fe4_belhalla.4.A;At once.;;;;;;;;;;;;;x
fe4_belhalla.4.B;Someone else would be better suited for this than me.;;;;;;;;;;;;;x
fe4_belhalla.5.desc;[From.GetTitledName] is raising an army to subdue [FromFromFrom.GetFullName] before [FromFromFrom.GetSheHe] can attack the realm. [From.GetFirstName] has sent out a call for other lords of [Root.Liege.PrimaryTitle.GetName] to join [From.GetHerHim] in this effort.;;;;;;;;;;;;;x
fe4_belhalla.5.tooltip;. §KFighting in this war may have serious consequences§!.;;;;;;;;;;;;;x
fe4_belhalla.5.A;Of course we stand with [From.GetTitledFirstName] and the [Root.Liege.GetTitle].;;;;;;;;;;;;;x
fe4_belhalla.5.B;[FromFromFrom.GetTitledFirstName] is no traitor! [Root.PrimaryTitle.GetName] fights with [FromFromFrom.GetHerHim]!;;;;;;;;;;;;;x
fe4_belhalla.5.C;We can't spare any soldiers for this.;;;;;;;;;;;;;x
fe4_belhalla.5.D;This is my chance to take over!;;;;;;;;;;;;;x
fe4_belhalla.5.D.tooltip;[Root.GetTitledFirstName] will start a plan to kill the leaders of both sides and seize power in [Root.Liege.PrimaryTitle.GetName].;;;;;;;;;;;;;x
fe4_belhalla.6.desc;[From.GetTitledName] is preparing to attack [FromFromFrom.GetFirstName]! [FromFromFrom.GetSheHeCap]'s spewing some nonsense about how [FromFromFrom.GetFirstName] is planning to invade them first. I'm sure [FromFromFrom.GetFirstName] could use all the help [FromFromFrom.GetSheHe] can get. Perhaps I should take some knights and try to meet up with [FromFromFrom.GetHerHis] forces?;;;;;;;;;;;;;x
fe4_belhalla.6.A;I can't let my friend fight alone.;;;;;;;;;;;;;x
