#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
fe4_grannvale_agustria.1.desc;The court is in an uproar after the war in Verdane. Many people are going back and forth, bringing news of the fighting and preparing for battle just in case. If I wanted to... hasten... my ascent to the throne, this would be an excellent chance.;;;;;;;;;;;;;x
fe4_grannvale_agustria.1.A;Seize the opportunity!;;;;;;;;;;;;;x
fe4_grannvale_agustria.1.B;That would be wrong.;;;;;;;;;;;;;x
fe4_grannvale_agustria.2.desc;Now that I rule Agustria, I have the power to take the lands that are rightfully mine. Verdane should be an easy target after the recent war. Achieving victory there would be the first step in becoming the new world leader.;;;;;;;;;;;;;x
fe4_grannvale_agustria.2.A;I'll be emperor of the world!;;;;;;;;;;;;;x
fe4_grannvale_agustria.2.A.tooltip;§Y[Root.GetTitledName]§! invades §YVerdane§!;;;;;;;;;;;;;x
fe4_grannvale_agustria.2.B;That would be incredibly foolish.;;;;;;;;;;;;;x
fe4_grannvale_agustria.4.desc;It has been a year since Grannvale occupied most of Agustria after my incompetent vassals lost the war. The indignity is intolerable! I should take back my country at once!;;;;;;;;;;;;;x
fe4_grannvale_agustria.4.A;To arms!;;;;;;;;;;;;;x
fe4_grannvale_agustria.4.A.tooltip;§Y[Root.GetTitledName]§! invades occupied §YAgustria§!;;;;;;;;;;;;;x
fe4_grannvale_agustria.4.B;Perhaps I should stop before this gets any worse.;;;;;;;;;;;;;x
fe4_grannvale_agustria.8.desc;That woman over there! The one dressed like a pirate! She's my sister Brigid, isn't she? I have to talk to her and tell her who she is!;;;;;;;;;;;;;x
fe4_grannvale_agustria.8.A;What am I waiting for?;;;;;;;;;;;;;x
fe4_grannvale_agustria.8.B;Maybe it isn't really her...;;;;;;;;;;;;;x
fe4_grannvale_agustria.9.desc;A woman who looks just like me came to see me today. She says I'm her long-lost twin sister. Could she be right? She does feel familiar...;;;;;;;;;;;;;x
fe4_grannvale_agustria.9.A;That bow... I'm starting to remember!;;;;;;;;;;;;;x
fe4_grannvale_agustria.9.B;I can't give up my life as Brigid of Orgahil.;;;;;;;;;;;;;x
fe4_grannvale_agustria.10.desc;Brigid refused to consider the idea that we're sisters. She wouldn't even touch the Yewfelle...;;;;;;;;;;;;;x
fe4_grannvale_agustria.10.A;Why?;;;;;;;;;;;;;x
fe4_grannvale_agustria.11.title;The Pirate Queen;;;;;;;;;;;;;x
fe4_grannvale_agustria.11.desc;Brigid of Jungby, the long-lost daughter of Lord Ring, has returned! She was thought lost when her father's ship was attacked by pirates during their pilgrimage to Blagi Tower. Brigid was adopted by the pirate captain and lived on Orgahil until some sort of falling out forced her to flee the island. Fortunately, she encountered some knights of Grannvale who guided her back to her family.;;;;;;;;;;;;;x
fe4_grannvale_agustria.11.A;A happy ending.;;;;;;;;;;;;;x
fe4_grannvale_agustria.13.desc;Ill rumors have been making their way around court at [Root.Capital.GetName] of late. It seems that [From.GetTitledName] has been conspiring to seize the throne, with the help of nobles in Agustria, Isaach, and my own inner circle. [From.GetFirstName] had Kurth murdered and will move against me soon!;;;;;;;;;;;;;x
fe4_grannvale_agustria.13.A;Apprehend [From.GetFirstName] and [From.GetHerHis] rebels!;;;;;;;;;;;;;x
fe4_grannvale_agustria.13.B;I will not believe this baseless slander.;;;;;;;;;;;;;x
fe4_grannvale_agustria.14.desc;[Root.GetTitledFirstName],\nI command that you return to the capital at once to answer for your crimes against [From.PrimaryTitle.GetName]. We know that you have been conspiring with foreign agents to seize the crown, and that your allies murdered Prince Kurth as part of your vile scheme. Come quietly and this will all end swiftly.\nSigned,\n[From.GetTitledName];;;;;;;;;;;;;x
fe4_grannvale_agustria.14.A;I can't fight the [From.GetTitle]. I should flee until the truth comes out.;;;;;;;;;;;;;x
fe4_grannvale_agustria.14.A.tooltip;§Y[Root.GetTitledName]§! abandons [Root.GetHerHis] current holdings and flees to another country.;;;;;;;;;;;;;x
fe4_grannvale_agustria.14.B;I will prove my innocence on the battlefield!;;;;;;;;;;;;;x
fe4_grannvale_agustria.14.B.tooltip;§Y[Root.GetTitledName]§! declares war on §Y[From.GetTitledName]§!;;;;;;;;;;;;;x
fe4_grannvale_agustria.14.C;I submit to the [From.GetTitle]'s justice.;;;;;;;;;;;;;x
fe4_grannvale_agustria.15.desc;[Root.GetTitledFirstName],\nI deny any knowledge of the crimes for which I stand accused, and I will not submit to a trial while members of your court are conspiring to frame me. I am prepared to prove my innocence on the field of battle if necessary. \n\nSigned,\n[From.GetTitledName];;;;;;;;;;;;;x
fe4_grannvale_agustria.15.A;Then war it is!;;;;;;;;;;;;;x
fe4_grannvale_agustria.16.desc;The [Root.TopLiege.GetTitle] has commanded us to invade Verdane. There's no reason for us to fight. I need to get [Root.TopLiege.GetHerHim] to see reason.;;;;;;;;;;;;;x
fe4_grannvale_agustria.16.A;I know I'll get through to [Root.TopLiege.GetHerHim].;;;;;;;;;;;;;x
fe4_grannvale_agustria.16.B;[Root.TopLiege.GetSheHeCap]'s not about to listen to me.;;;;;;;;;;;;;x
fe4_grannvale_agustria.17.desc;[Root.PrimaryTitle.GetFOA],\nPlease consider putting an end to this invasion of Verdane. Your father always strived for peace with our neighbors. Besides, a war would be very hard on our people and put your reputation at risk. You must not let this continue!\nSigned,\n[From.GetTitledName];;;;;;;;;;;;;x
fe4_grannvale_agustria.17.A;I rule [Root.PrimaryTitle.GetName]! Throw this trash in the dungeon!;;;;;;;;;;;;;x
fe4_grannvale_agustria.17.B;You have a point. Peace it is.;;;;;;;;;;;;;x
fe4_grannvale_agustria.17.C;It'll be fine. Do try not to panic.;;;;;;;;;;;;;x
fe4_grannvale_agustria.18.desc;[Root.GetTitledFirstName],\nMy vassals misintrepeted my orders to fortify our borders. I assure you that I never had any intention to invade [Root.PrimaryTitle.GetName]. I will see to it that those responsible for this foolishness are dealt with. Let us end these hostilities and renew our old friendship.\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;;;x
fe4_grannvale_agustria.18.A;Will you go away if I say yes?;;;;;;;;;;;;;x
fe4_grannvale_agustria.18.B;There's no backing out of this one, [GetRootFromInsult ].;;;;;;;;;;;;;x
fe4_grannvale_agustria.19.desc;[Root.GetTitledFirstName],\nI accept your offer of a white peace. I trust you and your vassals will be less hasty in the future.\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;;;x
fe4_grannvale_agustria.19.A;I think I just avoided a terrible mistake.;;;;;;;;;;;;;x
fe4_grannvale_agustria.20.desc;[Root.GetTitledFirstName],\nYou would attack [From.PrimaryTitle.GetName] and then try to lie your way out of a fight? We will show you the magnitude of your blunder.\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;;;x
fe4_grannvale_agustria.20.A;No one talks down to me like that!;;;;;;;;;;;;;x
fe4_grannvale_agustria.21.desc;[FromFrom.GetTitledName] angered the [From.GetTitle] and got thrown the dungeon, did [FromFrom.GetSheHe]? This could be an opportunity fo us...;;;;;;;;;;;;;x
fe4_grannvale_agustria.21.A;Now's our chance to even the score!;;;;;;;;;;;;;x
fe4_grannvale_agustria.21.B;We already have a war to worry about.;;;;;;;;;;;;;x
