#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
fe4_grannvale_verdane.1.desc;Right as we go to war with Isaach, those barbarians from Verdane come over the border, raid Jungby Castle, and kidnap the duke's daughter! Lord Sigurd is preparing a counteroffensive. The king has asked me to check on the situation there.;;;;;;;;;;;;;x
fe4_grannvale_verdane.1.A;And deliver this sword, it seems.;;;;;;;;;;;;;x
fe4_grannvale_verdane.2.desc;[Root.GetLordLady] [Root.GetFirstName],\nThe [Root.Liege.GetTitle] has sent me to assess the state of the conflict with Verdane. He also sent this sword. It is a gift for you. I trust you will handle the barbarians... don't let me down, [Root.GetFirstName].;;;;;;;;;;;;;x
fe4_grannvale_verdane.2.A;Please convey my thanks to the [Root.Liege.GetTitle].;;;;;;;;;;;;;x
fe4_grannvale_verdane.3.desc;Lords Lex of Dozel and Azelle of Velthomer have come to my aid! They heard about the fighting with Verdane and worried that we would be shorthanded with so many soliders occupied in Isaach.;;;;;;;;;;;;;x
fe4_grannvale_verdane.3.A;Please, stay as long as you like.;;;;;;;;;;;;;x
fe4_grannvale_verdane.3.B;I appreciate the offer, but your help is not necessary.;;;;;;;;;;;;;x
fe4_grannvale_verdane.5.desc;My [From.GetSonDaughter] [From.GetFirstName] has asked for my permission to journey to Grannvale. It seems the barbarians of Verdane have been making raids over the border, and [From.GetFirstName] wants to help his brother-in-law in Chalphy.;;;;;;;;;;;;;x
fe4_grannvale_verdane.5.A;I forbid it!;;;;;;;;;;;;;x
fe4_grannvale_verdane.5.B;Go with my blessing.;;;;;;;;;;;;;x
fe4_grannvale_verdane.5.C;Go, and take the Gáe Bolg to keep you safe.;;;;;;;;;;;;;x
fe4_grannvale_verdane.6.desc;My old friend Quan has come to fight at my side! He heard about the trouble with Verdane and came to help, just as we promised back in our academy days.;;;;;;;;;;;;;x
fe4_grannvale_verdane.6.A;You're always here for me, aren't you?;;;;;;;;;;;;;x
fe4_grannvale_verdane.6.B;What about Leonster? You should make sure your own home is safe!;;;;;;;;;;;;;x
fe4_grannvale_verdane.8.desc;Locking up that girl from Grannvale started a war, and it was just plain wrong. Maybe I should free her...;;;;;;;;;;;;;x
fe4_grannvale_verdane.8.A;It's the right thing to do.;;;;;;;;;;;;;x
fe4_grannvale_verdane.8.B;I can't go against my family.;;;;;;;;;;;;;x
fe4_grannvale_verdane.9.desc;[From.GetLordLady] [From.GetFirstName] has broken me out of prison! He believes this war is foolish and hopes that releasing me - and that young thief - will help stop the fighting.;;;;;;;;;;;;;x
fe4_grannvale_verdane.9.A;Good luck to you!;;;;;;;;;;;;;x
fe4_grannvale_verdane.10.desc;The castle has fallen! The soldiers who seized it let me out of the dungeon.;;;;;;;;;;;;;x
