#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
fe4_last_holy_war.4.desc;Now that you are of age, more of the common folk are comparing you to your noble father. They are starting to hail you as a potential savior and the best hope to save the world from darkness.;;;;;;;;;;;;;x
fe4_last_holy_war.4.A;I hope to prove worthy of their trust.;;;;;;;;;;;;;x
fe4_last_holy_war.5.title;The Scion of Light;;;;;;;;;;;;;x
fe4_last_holy_war.5.desc.1;The insignificant worms that infest this land have found a new symbol to cling to. [From.GetLordLady] [From.GetFirstName], the [From.GetSonDaughter] of [From.Father.GetTitledName] and heir of Baldr.\n\nThey have some fanciful story about how [From.GetFirstName] is the rightful ruler of Jugdral and will lead a crusade to cleanse the land of evil.;;;;;;;;;;;;;x
fe4_last_holy_war.5.desc.2;Lately the common folk have been buzzing with rumors about [From.GetLordLady] [From.GetFirstName], the [From.GetSonDaughter] of [From.Father.GetTitledName].\n\nIf their tales can be believed, [From.GetFirstName] is the heir to [From.GetHerHis] father's noble spirit and a true champion of justice. Some whisper that [From.GetFirstName] is the rightful ruler of all Jugdral, and the only one who can save the land from evil.;;;;;;;;;;;;;x
fe4_last_holy_war.5.A;Don't make me laugh!;;;;;;;;;;;;;x
fe4_last_holy_war.5.B;That remains to be seen.;;;;;;;;;;;;;x
fe4_last_holy_war.6.title;The Scion of Darkness;;;;;;;;;;;;;x
fe4_last_holy_war.6.desc;Tales about [From.GetTitledName] have been spreading like wildfire across Jugdral. [From.GetHerHisCap] charisma and charm have been well-known for some time, but now it seems that something very dark lurks beneath [From.GetHerHis] polished surface.\n\nThere are countless rumors of [From.GetFirstName]'s cruelty and abuse towards anyone [From.GetSheHe] considers beneath [From.GetHerHim]. Many people who have met with [From.GetFirstName] in person find the experience terrifying, as if they encountered a demon wearing human skin...;;;;;;;;;;;;;x
fe4_last_holy_war.6.A;[From.GetTitledFirstName] is truly Loptous's chosen...;;;;;;;;;;;;;x
fe4_last_holy_war.6.B;You would swear [From.GetSheHe] isn't even human.;;;;;;;;;;;;;x
fe4_last_holy_war.10.desc;Word has reached you that the forces of [FromFrom.PrimaryTitle.GetName] are planning a purge of rebellious elements. [From.GetTitledName] will be commanding an army to subjugate your lands.;;;;;;;;;;;;;x
fe4_last_holy_war.10.A;Let's move!;;;;;;;;;;;;;x
fe4_last_holy_war.10.A.tooltip;§Y[Root.GetTitledFirstName]§! goes to war with §Y[From.GetTitledName]§!;;;;;;;;;;;;;x
fe4_last_holy_war.11.title;Light Inheritors;;;;;;;;;;;;;x
fe4_last_holy_war.11.desc;A dangerous revolt is brewing in [From.Capital.GetName]!\n\n [From.GetFullName], a descendant of one of the twelve crusaders, has been quietly gathering people dissatisfied with the rule of your liege [Root.Liege.GetTitledFirstName]. [From.GetFirstName]'s following has been growing steadily and [From.GetSheHe] will soon be able to field a large army, if [From.GetSheHe] does not already have one. \n\nThe people of [Root.PrimaryTitle.GetName] are whispering that [From.GetFirstName] and [From.GetHerHis] rebels are a liberation army that will save Jugdral from tyranny. Unless you act quickly, your position as [Root.GetTitle] will be undermined... and you'll have to answer to [Root.Liege.GetTitledFirstName].;;;;;;;;;;;;;x
