#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#fe7_eliwood.1.desc;My agents have recaptured the dragon twins and brought them to me. When the time comes, they will open the gate. Until that glorious day, there are other sources of quintessence. Instigating a large enough conflict will provide plenty of opportunities to drain the fallen warriors...;;;;;;;;;;;;;x
fe7_eliwood.1.desc;My agents have recaptured the dragon girl and brought her to me. When the time comes, she will open the gate. Until that glorious day, there are other sources of quintessence. Instigating a large enough conflict will provide plenty of opportunities to drain the fallen warriors...;;;;;;;;;;;;;x
fe7_eliwood.1.A;The right spark will set Lycia ablaze.;;;;;;;;;;;;;x
fe7_eliwood.1.A.tooltip;[Root.GetTitledFirstName] will attempt to provoke a war among the nobles of Lycia. Should the war happen, [Root.GetHerHis] agents will be positioned to absorb a great deal of [Root.Religion.GetPietyName] from the warriros involved. If the conspiracy is discovered, the lords and ladies targeted may attempt to retaliate.;;;;;;;;;;;;;x
#fe7_eliwood.1.A.tooltip;[Root.GetTitledFirstName] will attempt to provoke a war among the nobles of one of the kingdoms of Elibe. Should the war happen, [Root.GetHerHis] agents will be positioned to absorb a great deal of [Root.Religion.GetPietyName] from the soldiers involved. If the conspiracy is discovered, the lords and ladies targeted may attempt to retaliate.;;;;;;;;;;;;;x
fe7_eliwood.1.B;That would be far too risky. I should bide my time.;;;;;;;;;;;;;x
#fe7_eliwood.2.desc;There are several regions in Elibe where a war of the proper scale could be engineered. Where should I focus my efforts?;;;;;;;;;;;;;x
#fe7_eliwood.2.A;I will provoke a war among the nobles of Lycia.;;;;;;;;;;;;;x
#fe7_eliwood.2.B;Perhaps a civil war in Bern?;;;;;;;;;;;;;x
#fe7_eliwood.2.C;Surely some Etrurian dukes would make a play for the crown.;;;;;;;;;;;;;x
#fe7_eliwood.2.D;Never mind, this was a poor idea.;;;;;;;;;;;;;x
fe7_eliwood.4.title;The Black Shadow;;;;;;;;;;;;;x
fe7_eliwood.4.desc;A strange man has come to your court at [Root.Capital.GetName]. He wears a cloak that covers his face, but his eyes glow with an odd golden light. They seem... inhuman. \n\nUnnerving appearance aside, has has brought an interesting proposal. He claims to represent an organization that is dissatisfied with the amount of influence [From.GetTitledName] holds in [From.PrimaryTitle.Kingdom.GetName]. They are looking for lords and ladies willing to raise arms against [From.GetHerHim]. After [From.GetTitledFirstName] inevitably falls, [From.GetHerHis] lands and titles would of course go to one of the lords who brought [From.GetHerHim] down.\n\nThe man says he requires your answer immediately.;;;;;;;;;;;;;x
fe7_eliwood.4.A;You shall have my support.;;;;;;;;;;;;;x
fe7_eliwood.4.B;I want no part of this conspiracy!;;;;;;;;;;;;;x
fe7_eliwood.4.C;I'll pretend to go along with this until I find the mastermind...;;;;;;;;;;;;;x
fe7_eliwood.6.desc;My agents have reported back. They have not been able to build enough support for the conspiracy - the war I had hoped for will not be happening.;;;;;;;;;;;;;x
fe7_eliwood.6.A;Pah. Cowards, all of them!;;;;;;;;;;;;;x
