#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
fe7_lyn.1.desc;While purchasing supplies for my journey, I met a pair of knights from Lycia. My grandfather sent them to the plains to find my mother and her family. After learning of my parents' death, they decided to search for me instead. They have offered to accompany me to Caelin.;;;;;;;;;;;;;x
fe7_lyn.1.A;Let us go together.;;;;;;;;;;;;;x
fe7_lyn.1.B;No, I do not trust you.;;;;;;;;;;;;;x
fe7_lyn.2.desc;While making my way through the countryside, I came upon a village being accosted by bandits. An old friend of mine and a Pherean archer helped me fend them off. They want to travel with me to gain experience as mercenaries...;;;;;;;;;;;;;x
fe7_lyn.2.A;Lyndis' Legion, is it?;;;;;;;;;;;;;x
fe7_lyn.2.B;We should go our separate way.;;;;;;;;;;;;;x
fe7_lyn..title;;;;;;;;;;;;;;x
fe7_lyn..desc;;;;;;;;;;;;;;x
fe7_lyn..A;;;;;;;;;;;;;;x
fe7_lyn..B;;;;;;;;;;;;;;x
fe7_lyn..C;;;;;;;;;;;;;;x
fe7_lyn..D;;;;;;;;;;;;;;x
