#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PHANTOM_GUARDIANS;[Root.Location.County.GetName] Guardians;;;;;;;;;;;;;x
CB_NAME_REGALIA_GUARDIAN;[Actor.Location.County.GetName] Regalia Trial;;;;;;;;;;;;;x
WAR_NAME_REGALIA_GUARDIAN;[Actor.Location.County.GetName] Regalia War;;;;;;;;;;;;;x
CB_NAME_LYN;Lyndis' Return;;;;;;;;;;;;;x
claim_all_lyn_desc;Lyndis' Return;;;;;;;;;;;;;x
regalia_guardian_desc;Regalia War;;;;;;;;;;;;;x
dragon_liberation_invasion_desc;§Y$TARGET$§! is not of the True Faith - which is all the cause §Y$CLAIMANT$§! needs to invade the §Y$TITLE$§!. If successful, everything §Y$TARGET$§! controls within the §Y$TITLE$§! will be taken or vassalized.;§Y$TARGET$§! ne suit pas la vraie foi - c'est suffisant pour que §Y$CLAIMANT$§! envahisse le §Y$TITLE$§!. En cas de succès, tout ce que contrôle §Y$TARGET$§! dans le §Y$TITLE$§! sera capturé ou vassalisé.;§Y$TARGET$§! gehört nicht dem wahren Glauben an - was Grund genug für §Y$CLAIMANT$§! ist, um eine Invasion zu starten. Sollte er Erfolg haben, so wird aller Besitz von §Y$TARGET$§! innerhalb vom §Y$TITLE$§! übernommen oder vasallisiert.;;§Y$TARGET$§! no es de la verdadera fe - por lo cual §Y$CLAIMANT$§! debe invadir el §Y$TITLE$§!. De tener éxito, todo lo que §Y$TARGET$§! controle dentro del §Y$TITLE$§! será anexionado o vasallizado.;;;;;;;;;x
dragon_liberation_invasion_succ_tip;All defenders within §Y[This.GetFullBaseName]§! become vassals of §Y[Root.GetTitledFirstName]§!.\n;;;;;;;;;;;;;x
WAR_NAME_FILICIDE_NC;$ORDER$Revolt against the rule of $DEFENDER$;$ORDER$Révolte contre le règne de $DEFENDER$;$ORDER$Revolte gegen die Herrschaft von  $DEFENDER$;;$ORDER$ Revuelta contra el Gobierno de $DEFENDER$;;;;;;;;;x
filicide_revolt_desc;Peasant leaders sometimes rise up and try to 'liberate' their county from oppression.;Parfois, les chefs paysans se lèvent et tentent de 'libérer' leur comté de l'oppression.;Bauern-Anführer revoltieren manchmal und versuchen, ihr Land aus der Unterdrückung zu 'befreien'.;;Líderes campesinos a veces se sublevan y tratan de ‘liberar’ su condado de la opresión.;;;;;;;;;x
FILICIDE_REVOLT;[Root.PrimaryTitle.GetAdjective] Peasant Revolt;Révolte [Root.PrimaryTitle.GetAdjective] de paysans;[Root.PrimaryTitle.GetAdjective]er Bauernaufstand;;Revuelta Campesina [Root.PrimaryTitle.GetAdjective];;;;;;;;;x
filicide_revolt.tooltip.1;[This.GetTitledName] abdicates to the child [This.GetSheHe] attempted to kill.;;;;;;;;;;;;;x
filicide_revolt.tooltip.2;[This.GetTitledName] abdicates to [This.Heir.GetTitledName].;;;;;;;;;;;;;x
conqueror_invasion_desc;We do not need to bother with just causes - might makes right! §Y$CLAIMANT$§! can invade the lands of §Y$TARGET$§!. If successful, the titles to all currently occupied holdings will be seized and all vassals will become our vassals.;Inutile de s'embêter à trouver de justes casus belli, la force fait loi ! §Y$CLAIMANT$§! peut envahir les terres de §Y$TARGET$§!. S'il réussit, les titres de toutes les propriétés occupées par ses troupes seront saisis et les autres seigneurs passeront sous son autorité.;Wir brauchen uns nicht nicht mit gerechten Gründen befassen – Macht geht vor Recht! §Y$CLAIMANT$§! kann in die Länder von §Y$TARGET$§! einmarschieren. Falls dies erfolgreich ist, werden alle derzeit besetzten Gebiete beschlagnahmt und alle Vasallen werden;;¡No hemos de preocuparnos por la justicia de las causas! ¡La fuerza otorga el derecho! §Y$CLAIMANT$§! puede invadir las tierras de §Y$TARGET$§!. De tener éxito, los títulos de todas las propiedades ocupadas se confiscarán y todos sus vasallos se convertirán en nuestros vasallos.;;;;;;;;;x
conspiracy_cb_desc;§Y$TARGET$§! is part of a dastardly plot to start a dishonorable war in your homeland. The villain must be brought to justice!;;;;;;;;;;;;;x
conspiracy_cb_tooltip;The mastermind of the conspiracy will be revealed.;;;;;;;;;;;;;x
CB_NAME_CONSPIRACY;Conspiracy;;;;;;;;;;;;;x
conspiracy_invasion_desc;We have been plotting to invade §Y$TARGET$§! for some time. Our co-conspirators will join us in battle as soon as the war begins.;;;;;;;;;;;;;x
WAR_NAME_CONSPIRACY;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Conspiracy War;;;;;;;;;;;;;x
destroy_realm_desc;§Y$TARGET$§! is an inhuman monster and must be stopped for the good of all.;;;;;;;;;;;;;x
CB_NAME_DESTROY_REALM;Destroy Realm;;;;;;;;;;;;;x
destroy_realm_success_tooltip;The [From.PrimaryTitle.GetFullBaseName] will be destroyed and all its vassals will be released. [From.GetTitledFirstName] will be killed, if we can manage it.\n;;;;;;;;;;;;;x
WAR_NAME_DESTROY_REALM;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ War;;;;;;;;;;;;;x
destroy_realm_tooltip.on_reverse_demand;No future wars of this type will be possible against [From.GetTitledFirstName].;;;;;;;;;;;;;x
CB_NAME_LIBERATION;Liberation of [Title.GetBaseName];;;;;;;;;;;;;x
WAR_NAME_LIBERATION;$ORDER$$FIRST_ADJ$ Liberation of $OTHER_TITLE$;;;;;;;;;;;;;x
western_isles_liberation;Liberation;;;;;;;;;;;;;x
western_isles_liberation_desc;§Y$CLAIMANT$§! can use this Casus Belli to seize all titles held by §Y$TARGET$§! within the de jure §Y$TITLE$§!. This Casus Belli is valid against any ruler holding land within the de jure Kingdom of the Western Isles who is a bandit or whose primary title is outside the isles.;;;;;;;;;;;;;x
reform_tyrant_government_desc;Reform Government;;;;;;;;;;;;;x
CB_NAME_ATTACK;Attack;;;;;;;;;;;;;x
battle_of_belhalla_desc;We will crush the traitor §Y$TARGET$§!!;;;;;;;;;;;;;x
WAR_NAME_ATTACK;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Attack;;;;;;;;;;;;;x
CB_NAME_IMPERIAL_GRANNVALE;Imperial Conquest of [Title.GetBaseName];;;;;;;;;;;;;x
WAR_NAME_IMPERIAL_GRANNVALE;$ORDER$$FIRST_ADJ$ Imperial Conquest of $OTHER_TITLE$;;;;;;;;;;;;;x
grannvale_imperial_conquest_desc;The lands of the holy crusaders must be united! §Y$CLAIMANT$§! can use this Casus Belli to seize all titles held by §Y$TARGET$§! within the de jure §Y$TITLE$§!.;;;;;;;;;;;;;x
CB_NAME_SUPPRESS_REBELS;Suppress Rebels;;;;;;;;;;;;;x
grannvale_suppress_rebels_desc;§Y$TARGET$§! is a rebel traitor and must be crushed for the good of the realm!;;;;;;;;;;;;;x
WAR_NAME_SUPPRESSION;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Suppression;;;;;;;;;;;;;x
grannvale_suppress_rebels.tooltip;§Y[From.GetTitledFirstName]§! takes or vassalizes all titles held by §Y[Root.GetTitledFirstName]§! within the region of the revolt.;;;;;;;;;;;;;x
jugdral_crusade_desc;§Y$TARGET$§! is the mortal vessel of Loptous and must be defeated for the good of humanity.;;;;;;;;;;;;;x
jugdral_crusade.tooltip;§Y[Root.GetTitledFirstName]§! executes §Y[From.GetTitledFirstName]§! and takes or vassalizes all of [From.GetHerHis] titles.;;;;;;;;;;;;;x
WAR_NAME_JUGDRAL_CRUSADE;$ORDER$$SECOND_ADJ$ Crusade;;;;;;;;;;;;;x
chagall_invasion_desc;We do not need to bother with just causes - might makes right! §Y$CLAIMANT$§! can invade the lands of §Y$TARGET$§!.;Inutile de s'embêter à trouver de justes casus belli, la force fait loi ! §Y$CLAIMANT$§! peut envahir les terres de §Y$TARGET$§!. ;Wir brauchen uns nicht mit gerechten Gründen befassen – Macht geht vor Recht! §Y$CLAIMANT$§! kann in die Länder von §Y$TARGET$§! einmarschieren.;;¡No hemos de preocuparnos por la justicia de las causas! ¡La fuerza otorga el derecho! §Y$CLAIMANT$§! puede invadir las tierras de §Y$TARGET$§!.;;;;;;;;;x
