#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
elibian;Elibian;;;;;;;;;;;;;x
lycian;Lycian;;;;;;;;;;;;;x
bernese;Bernese;;;;;;;;;;;;;x
etrurian;Etrurian;;;;;;;;;;;;;x
nabatan;Nabatan;;;;;;;;;;;;;x
sacaean;Sacaean;;;;;;;;;;;;;x
ilian;Ilian;;;;;;;;;;;;;x
western_islander;Western Islander;;;;;;;;;;;;;x
draconic;Draconic;;;;;;;;;;;;;x
divine_dragon_culture;Divine Dragon;;;;;;;;;;;;;x
fire_dragon_culture;Fire Dragon;;;;;;;;;;;;;x
ice_dragon_culture;Ice Dragon;;;;;;;;;;;;;x
war_dragon_culture;War Dragon;;;;;;;;;;;;;x
jugdrali;Jugdrali;;;;;;;;;;;;;x
grann;Grann;;;;;;;;;;;;;x
grannvalean;Grannvalean;;;;;;;;;;;;;x
agustrian;Agustrian;;;;;;;;;;;;;x
silessian;Silessian;;;;;;;;;;;;;x
isaachian;Isaachian;;;;;;;;;;;;;x
thracian;Thracian;;;;;;;;;;;;;x
mansterian;Mansterian;;;;;;;;;;;;;x
verdanian;Verdanian;;;;;;;;;;;;;x
new_thracian;New Thracian;;;;;;;;;;;;;x
magvelian;Magvelian;;;;;;;;;;;;;x
grado;Grado;;;;;;;;;;;;;x
frelian;Frelian;;;;;;;;;;;;;x
renais;Renais;;;;;;;;;;;;;x
jehanna;Jehanna;;;;;;;;;;;;;x
rausten;Rausten;;;;;;;;;;;;;x
carcino;Carcino;;;;;;;;;;;;;x
pelyni;Pelyni;;;;;;;;;;;;;x
