#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTNAMEfe7.1;The Kingdom of Lycia;;;;;;;;;;;;;x
EVTDESCfe7.1;With the death of Nergal, the holdings he once controlled have been taken over by opportunistic locals. The fiend's empire is no more.;;;;;;;;;;;;;x
EVTOPTAfe7.1;Good riddance!;;;;;;;;;;;;;x
EVTNAMEfe7.2;Crafting New Life;;;;;;;;;;;;;x
EVTDESCfe7.2;Quintessence can be used to create several different varieties of morphs. You could create a small army of emotionless puppets fit for nothing but combat, or focus your efforts on creating one morph with superior skills.;;;;;;;;;;;;;x
EVTOPTAfe7.2;I will craft a single morph of great power.;;;;;;;;;;;;;x
EVTOPTBfe7.2;I will craft an army of lesser morphs.;;;;;;;;;;;;;x
EVTOPTCfe7.2;On second thought, I should conserve my strength.;;;;;;;;;;;;;x
EVTNAMEfe7.3;Crafting New Life;;;;;;;;;;;;;x
EVTDESCfe7.3;Morphs can be created with strength, beauty, and intelligence beyond that of normal humans. As you prepare the ritual to create such a masterpiece, you decide that your newest morph will be:;;;;;;;;;;;;;x
EVTOPTAfe7.3;A mighty warrior.;;;;;;;;;;;;;x
EVTOPTBfe7.3;A calculating plotter.;;;;;;;;;;;;;x
EVTOPTCfe7.3;Something... special.;;;;;;;;;;;;;x
EVTOPTDfe7.3;On second thought, I should conserve my strength.;;;;;;;;;;;;;x
EVTNAMEfe6.1;The Kingdom of Lycia;;;;;;;;;;;;;x
EVTDESCfe6.1;Since the time of Roland, the Lycian League has been a federation of small marches, governed by largely autonomous nobles. Now, these territories have been formally united into a new nation - the Kingdom of Lycia. Under your leadership, the people of the new state hope this marks the beginning of an era of peace, prosperity, and harmony in Lycia.;;;;;;;;;;;;;x
EVTOPTAfe6.1;Long may it endure!;;;;;;;;;;;;;x
EVTTOOLTIPfe6.1;The Kingdom of Lycia is formed.;;;;;;;;;;;;;x
EVTNAMEfe6.2;The Kingdom of Lycia;;;;;;;;;;;;;x
EVTDESCfe6.2;Since the time of Roland, the Lycian League has been a federation of small marches, governed by largely autonomous nobles. Now, these territories have been formally united into a new nation - the Kingdom of Lycia. Lead by [Root.GetTitle] [Root.GetTitledFirstName], the people of the new state hope this marks the beginning of an era of peace, prosperity, and harmony in Lycia.;;;;;;;;;;;;;x
EVTOPTAfe6.2;We shall see.;;;;;;;;;;;;;x
EVTDESCfe6.3;At your command, the Demon Dragon has created several new war dragons. They will surely prove to be capable commanders - and fearsome warriors - for your army.;;;;;;;;;;;;;x
EVTOPTAfe6.3;My enemies shall burn.;;;;;;;;;;;;;x
