#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
fire_emblem.3.title;;;;;;;;;;;;;;x
fire_emblem.3.desc;It is traditional for the heir to the [Root.PrimaryTitle.GetFullName] to have a coming-of-age ceremony that confirms them as the right-born heir to the throne. Your national treasure, the Fire Emblem, is the symbol of the heir and the heart of the ceremony.;;;;;;;;;;;;;x
fire_emblem.3.A;It will be a grand event!;;;;;;;;;;;;;x
fire_emblem.3.B;.;;;;;;;;;;;;;x
fire_emblem.4.title;;;;;;;;;;;;;;x
fire_emblem.4.desc;It is traditional for the heir to the [Root.PrimaryTitle.GetFullName] to have a coming-of-age ceremony that confirms them as the right-born heir to the throne. Your national treasure, the Fire Emblem, is the symbol of the heir and the heart of the ceremony. \n\nThe fact that it has gone missing presents a small problem.;;;;;;;;;;;;;x
fire_emblem.4.A;We shall conduct the ceremony without it. [Root.Heir.GetFirstName] remains my heir.;;;;;;;;;;;;;x
fire_emblem.4.B;This is reason enough to declare [Root.Heir.GetHerHim] unfit to inherit...;;;;;;;;;;;;;x
fire_emblem.1.C;.;;;;;;;;;;;;;x
fire_emblem.6.desc;[FromFrom.GetTitledName] has sent you an envoy to request that you return the Fire Emblem to [FromFrom.GetHerHim]. It is the national treasure of [FromFrom.PrimaryTitle.GetName], and by all rights is the property of the [FromFrom.GetTitle].;;;;;;;;;;;;;x
fire_emblem.6.A;[FromFrom.GetTitledFirstName] may have it with my compliments.;;;;;;;;;;;;;x
fire_emblem.6.A.tooltip;You return the Fire Emblem to [FromFrom.GetTitledFirstName].;;;;;;;;;;;;;x
fire_emblem.6.B;No. It is safer in my hands.;;;;;;;;;;;;;x
fire_emblem.7.desc;A band of guards in the employ of [From.GetTitledFirstName] have arrived. They have come to deliver the Fire Emblem, with the compliments of their [From.GetLordLady].;;;;;;;;;;;;;x
fire_emblem.8.desc;A messenger from [From.GetTitledFirstName] has arrived. [From.GetFirstName] wishes to inform you that [From.GetSheHe] will be keeping the Fire Emblem. [From.GetSheHeCap] believes it will be safer in [From.GetHerHis] hands than yours.;;;;;;;;;;;;;x
fire_emblem.8.A;That [GetRootFromInsult]!;;;;;;;;;;;;;x
fire_emblem.9.desc;[From.GetTitledName] owes you a favor. You could take advantage of that and force [From.GetHerHim] to return the Fire Emblem.;;;;;;;;;;;;;x
fire_emblem.9.A;Time to call in the debt.;;;;;;;;;;;;;x
fire_emblem.9.B;A polite request should suffice.;;;;;;;;;;;;;x
fire_emblem.11.desc;[From.GetTitledName] has sent you an envoy demanding the return of the Fire Emblem. The envoy makes it clear that [From.GetTitledFirstName] is calling in the favor you owe [From.GetHerHim].;;;;;;;;;;;;;x
fire_emblem.11.A;I suppose I have no choice.;;;;;;;;;;;;;x
