#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
faction_etruria_coup_title;Overthrow [From.Liege.GetBestName];Renverser [From.Liege.GetBestName];[From.Liege.GetBestName] stürzen;; Derrocar a [From.Liege.GetBestName];;;;;;;;;x
EVTDESC8220;You are a tyrant and a [GetFromRootInsult]! We will no longer stand idly by as you ignore the Council and the well-being of your subjects. The time has come for you to abdicate in favor of [new_title_holder.GetFullName]! Submit to this demand peacefully or face the consequences.\n\nSigned,\n[From.GetTitledName];Espèce [GetFromRootInsultNounAdj] tyrannique ! Nous ne resterons pas inactifs alors que vous ignorez le Conseil et le bien être de vos sujets. Le temps est venu pour vous d'abdiquer en faveur de [new_title_holder.GetFullName] ! Soumettez-vous à cette demande pacifiquement ou bien faites face aux conséquences.\n\nSigné,\n[From.GetTitledName];Ihr seid ein beispielloser Tyrann! Wir werden nicht länger untätig dabei zusehen, wie Ihr den Rat und das Wohlergehen Eurer Untertanen missachtet. Es ist an der Zeit für Euch, abzudanken und [new_title_holder.GetFullName] den Vortritt zu lassen! Fügt Euch dieser Forderung friedvoll oder tragt die Konsequenzen.\n\nGezeichnet,\n[From.GetTitledName];;¡Eres un tirano y un [GetFromRootInsult]! No queremos permanecer de brazos cruzados mientras ignoras el Consejo y el bienestar de sus súbditos. ¡Ha llegado el momento que abdiques en [new_title_holder.GetFullName]! Sométete pacíficamente a esta petición o afronta las consecuencias.\n\nFirmado,\n[From.GetTitledName];;;;;;;;;x
EVTDESC8223;Rather than risking civil war tearing the realm apart, I have decided to give in to your demand and abdicate the throne. But this treacherous act of blackmail will not be forgotten...\n\nSigned,\n[From.GetTitledName];Plutôt que de risquer une guerre civile qui diviserait le royaume, j'ai décidé de répondre favorablement à votre requête et de renoncer au trône. Mais je n'oublierai pas de sitôt votre acte de chantage...\n\nSigné\n[From.GetTitledName];Ich habe beschlossen, mich Eurer Forderung zu beugen und auf den Thron zu verzichten, anstatt einen Bürgerkrieg zu riskieren, der das Reich entzweit. Ich werde Euch diese heimtückische Erpressung jedoch niemals vergessen ...\n\nGezeichnet,\n[From.GetTitledName];;En lugar de arriesgarme a guerra civil que desgarre el reino, he decidido ceder a vuestra demanda y abdicar del trono. Pero este acto traicionero de chantaje no será olvidado...\n\nFirmado,\n[From.GetTitledName];;;;;;;;;x
faction_etruria_coup_ultimatum;Demand Abdication;Demande d'abdication;Forderungsverzicht;;Exigir abdicación;;;;;;;;;x
faction_etruria_coup_ultimatum_desc;Present an ultimatum to §Y[Root.Liege.GetBestName]§!, demanding that [Root.Liege.GetSheHe] abdicates in favor of the most liked vassal in the realm. If [Root.Liege.GetSubjectPronoun] refuses to comply, your Faction will rise in revolt.;Présentez un ultimatum à §Y[Root.Liege.GetBestName]§!, exigeant qu'[Root.Liege.GetSheHe] abdique en faveur du vassal le plus apprécié du royaume. Si [Root.Liege.GetSubjectPronoun] refuse d'obtempérer, votre faction se révoltera.;Stellt §Y[Root.Liege.GetBestName]§! ein Ultimatum und fordert, dass [Root.Liege.GetSheHe] zugunsten des beliebtesten Vasallen im Reich verzichtet. Sollte [Root.Liege.GetSubjectPronoun] dies ablehnen, wird Eure Fraktion einen Aufstand anzetteln.;;Presentar un ultimátum a §Y[Root.Liege.GetBestName]§!, exigiendo que [Root.Liege.GetSheHe] abdique en el vasallo más querido del reino. Si [Root.Liege.GetSubjectPronoun] se niega a aceptar, tu facción se alzará en rebelión.;;;;;;;;;x
CB_NAME_etruria_coup;Oust Ruler;Renverser le dirigeant;Herrscher entmachten;;Derrocar al gobernante;;;;;;;;;x
WAR_NAME_etruria_coup;$ORDER$War to Oust $DEFENDER$ from Power;$ORDER$Guerre pour renverser $DEFENDER$;$ORDER$-Krieg, um $DEFENDER$ zu entmachten;;$ORDER$Guerra para expulsar a $DEFENDER$ del poder;;;;;;;;;x

xEVTDESC8218;Rather than risking civil war tearing the realm apart, I have decided to give in to your demand and give the [Root.GetCouncilName] more powers in deciding the policies of the realm. But this treacherous act of blackmail will not be forgotten...\n\nSigned,\n[From.GetTitledName];Plutôt qu'une guerre civile qui diviserait le royaume, je préfère accéder à votre demande et donner davantage de pouvoir décisionnaire au [Root.GetCouncilName] en ce qui concerne les politiques du pays. Mais je n'oublierai pas cet odieux chantage...\n\nSigné,\n[From.GetTitledName];Um nicht zu riskieren, dass ein Bürgerkrieg das Reich zerreißt, habe ich beschlossen, Eurer Forderung nachzukommen und [Root.GetCouncilName] mehr Macht bei politischen Entscheidungen zuzubilligen. Trotzdem werde ich diesen verräterischen Akt der Erpressung niemals vergessen ...\n\nGezeichnet,\n[From.GetTitledName];;En lugar de correr el riesgo de guerra civil a desgarra del Reino, he decidido ceder a tus demanda y dar al [Root.GetCouncilName] más competencias para decidir las políticas del Reino. Pero este acto traicionero de chantaje no será olvidado...\n\nFirmado,\n[From.GetTitledName];;;;;;;;;x
xEVTDESC8217;Under pressure from a powerful Faction, §Y[From.GetTitledName]§! has agreed to increase the power of the [Root.GetCouncilName].;Sous la pression d'une faction puissante, [From.GetTitledName] a accepté d'étendre l'autorité du [Root.GetCouncilName].;Auf Druck einer mächtigen Fraktion hat [From.GetTitledName] die Macht von [Root.GetCouncilName] erhöht.;;Bajo la presión de una poderosa facción, [From.GetTitledName] ha aceptado aumentar el poder de [Root.GetCouncilName].;;;;;;;;;x
xEVTDESC8216;Rather than letting civil war tear the realm apart, [From.GetTitledName] has agreed to give the [Root.GetCouncilName] more powers in deciding the policies of the realm. Your valuable support in this matter will not be forgotten.\n\nSincerely,\n[FromFrom.GetTitledName];Plutôt que de laisser une guerre civile diviser le royaume, [From.GetTitledName] a accepté de donner au [Root.GetCouncilName] davantage de pouvoirs décisionnaires concernant les politiques du royaume. Votre précieux soutien lors du conflit ne sera pas oublié.\n\nSalutations distinguées,\n[FromFrom.GetTitledName];Um zu verhindern, dass ein Bürgerkrieg das Reich zerreißt, hat [From.GetTitledName] beschlossen, [Root.GetCouncilName] mehr Macht bei politischen Entscheidungen zuzubilligen. Eure wertvolle Unterstützung bei diesem Streit wird nicht vergessen.\nHochachtungsvoll\n[FromFrom.GetTitledName];;En lugar de dejar que la guerra civil desgarre el Reino, [From.GetTitledName] ha acordado dar el x más poderes para decidir las políticas del Reino. Su apoyo valioso en este asunto no será olvidado.\n\nsinceramente\n[FromFrom.GetTitledName];;;;;;;;;x
