#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
RULE_FE_STORY;Story Events;;;;;;;;;;;;;x
RULE_FE_STORY_ON_DESC;Various story events based on the plot of Fire Emblem games will be enabled.;;;;;;;;;;;;;x
RULE_FE_STORY_OFF_DESC;Various story events based on the plot of Fire Emblem games will be disabled.;;;;;;;;;;;;;x
RULE_EPIDEMICS_DELAYED_DYNAMIC;Delayed Dynamic;Dynamiques et différées;Verzögerte Dynamik;;Dinámica retrasada;;;;;;;;;x
RULE_EPIDEMICS_DELAYED_DYNAMIC_DESC;The Bubonic Plague will appear at the very earliest in the year 1100, and 25 years after the game has started. After one major outbreak the epidemic will become endemic.;La peste bubonique apparaîtra au plus tôt à l'an 1100, et 25 ans après le début de la partie. Après un épisode majeur, l'épidémie deviendra endémique.;Die Beulenpest bricht frühestens im Jahre 1100 und 25 Jahre nach Spielstart aus. Nach einem großen Ausbruch wird die Epidemie endemisch.;;La Peste bubónica aparecerá como muy pronto en el año 1100 y 25 años después de comenzar la partida. Tras un estallido mayor, la epidemia será endémica.;;;;;;;;;x
RULE_EPIDEMICS_DYNAMIC_DESC;The Bubonic Plague will appear at the very earliest 200 years after the game has started, and might reappear 500 years after game start. After one major outbreak the epidemic will become endemic.;La peste bubonique apparaîtra au plus tôt 200 ans après le début de la partie. Après un épisode majeur, l'épidémie deviendra endémique.;Die Beulenpest bricht frühestens 200 Jahre nach Spielstart aus und kann 500 Jahre nach Spielstart erneut auftreten. Nach einem großen Ausbruch wird die Epidemie endemisch.;;La Peste bubónica aparecerá como muy pronto 200 años después de comenzar la partida y puede reaparecer 500 años después del comienzo de la partida. Tras un estallido mayor, la epidemia será endémica.;;;;;;;;;x
RULE_EPIDEMICS_HISTORICAL_DESC;The Bubonic Plague will appear in the year 1345 and follow its historical route.;La peste bubonique apparaîtra en 1345 et suivra son parcours historique.;Die Beulenpest bricht im Jahr 1345 aus und folgt dem historischen Verlauf.;;La Peste bubónica aparecerá en el año 1345 y seguirá su ruta histórica.;;;;;;;;;x
RULE_DUEL_OUTCOME_RANDOMNESS;Duel Outcome Randomness;Résultat de duel aléatoire;;;;;;;;;;;;x
RULE_DUEL_OUTCOME_RANDOMNESS_NORMAL_DESC;Duel Outcomes will have a slight degree of randomness.;Les résultats de duel auront une légère composante aléatoire.;;;;;;;;;;;;x
RULE_DUEL_OUTCOME_RANDOMNESS_VERY_LOW;Very Low;Très bas;;;;;;;;;;;;x
RULE_DUEL_OUTCOME_RANDOMNESS_VERY_LOW_DESC;Duel Outcomes will have a very low degree of randomness.;Les résultats de duel auront une très basse composante aléatoire.;;;;;;;;;;;;x
RULE_DUEL_OUTCOME_RANDOMNESS_LOW;Low;Bas;;;;;;;;;;;;x
RULE_DUEL_OUTCOME_RANDOMNESS_LOW_DESC;Duel Outcomes will have a lower degree of randomness.;Les résultats de duel auront une plus basse composante aléatoire.;;;;;;;;;;;;x
RULE_DUEL_OUTCOME_RANDOMNESS_HIGH;High;Haut;;;;;;;;;;;;x
RULE_DUEL_OUTCOME_RANDOMNESS_HIGH_DESC;Duel Outcomes will have a higher degree of randomness.;Les résultats de duel auront une haute composante aléatoire.;;;;;;;;;;;;x
RULE_BATTLEFIELD_DUELS;Battlefield Duel Occurence;Survenance d'un duel sur le champ de bataille;;;;;;;;;;;;x
RULE_BATTLEFIELD_DUELS_NORMAL_DESC;The occurence of battlefield duels is unchanged.;La survenance d'un duel sur le champ de bataille est inchangée;;;;;;;;;;;;x
RULE_BATTLEFIELD_DUELS_MORE_FREQUENT;More Frequent;Plus fréquent;;;;;;;;;;;;x
RULE_BATTLEFIELD_DUELS_MORE_FREQUENT_DESC;The occurence of battlefield duels is increased by a factor of five.;La survenance d'un duel sur le champ de bataille est accrue d'un facteur 5;;;;;;;;;;;;x
RULE_BATTLEFIELD_DUELS_RARE_DESC;The occurence of battlefield duels is idecreased by a factor of five.;La survenance d'un duel sur le champ de bataille est diminuée d'un facteur 5;;;;;;;;;;;;x
