#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
title_fang;Fang;;;;;;;;;;;;;x
title_fang_desc;This character is one of the Four Fangs, the most elite warriors of the Black Fang.;;;;;;;;;;;;;x
title_dragon_general;Dragon General;;;;;;;;;;;;;x
title_dragon_general_desc;The three Dragon Generals of Bern are the highest-ranked commanders in the country's military, answering directly to the crown.;;;;;;;;;;;;;x
title_wyvern_general;Wyvern General;;;;;;;;;;;;;x
title_wyvern_general_desc;The three Wyvern Generals of Bern are the highest-ranked commanders in the country's military, answering directly to the crown.;;;;;;;;;;;;;x
title_mage_general;Mage General;;;;;;;;;;;;;x
title_mage_general_desc;Mage General is one of the three highest positions in the Etrurian army. It is traditionally bestowed on the best magic-user in the kingdom.;;;;;;;;;;;;;x
title_knight_general;Knight General;;;;;;;;;;;;;x
title_knight_general_desc;Knight General is one of the three highest positions in the Etrurian army. It is traditionally bestowed on the bravest general.;;;;;;;;;;;;;x
title_great_general;Great General;;;;;;;;;;;;;x
title_great_general_desc;Great General is the highest military position in Etruria. It is traditionally bestowed on the most experienced knight in the realm.;;;;;;;;;;;;;x
