#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
fe_plot.1.desc;Thinking about [Root.PlotTarget.GetTitledName]'s future coming-of-age ceremony, I had a flash of inspiration. The Fire Emblem is a critical part of the ceremony - what if it were to... disappear?;;;;;;;;;;;;;x;
fe_plot.1.A;My co-conspirators will know someone...;;;;;;;;;;;;;x;
fe_plot.1.B;Hire a thief;;;;;;;;;;;;;x;
fe_plot.1.C;I know the perfect man for the job!;;;;;;;;;;;;;x;
fe_plot.1.D;I cannot afford this.;;;;;;;;;;;;;x;
fe_plot.6.tooltip;A thief is hired to steal the Fire Emblem.;;;;;;;;;;;;;x;
fe_plot.2.desc;The Fire Emblem... it's important for the coming-of-age ceremony to confirm a certain someone as a proper heir. It would be a shame if anything happened to it...;;;;;;;;;;;;;x;
fe_plot.2.B;Ask the Plot head for funds;Demander de l'argent au chef du complot;Bittet den Kopf des Komplotts um Geld;;Pedir fondos al líder del complot;;;;;;;;;x;
fe_plot.3.desc;My co-conspirator, [From.GetTitledName], is asking for funds to hire a thief to steal the Fire Emblem so we can sabotage [Root.PlotTarget.GetTitledName]'s coming-of-age ceremony.;;;;;;;;;;;;;x;
fe_plot.3.A;Expensive, but worthwhile!;Ceci a un coût, certes, mais c'est pour la bonne cause !;Teuer, aber die Mühe wert!;;Es caro, pero ¡merece la pena!;;;;;;;;;x;
fe_plot.3.B;Even disinheriting [Root.PlotTarget.GetHerHim] is not worth it.;;;;;;;;;;;;;x;
fe_plot.4.desc;[From.GetTitledName] has sent me enough money to hire a master thief!;;;;;;;;;;;;;x;
fe_plot.5.desc;[From.GetTitledName] has refused to give me the necessary gold to have the Fire Emblem stolen.;;;;;;;;;;;;;x;
fe_plot.6.desc;The Fire Emblem is so captivating... I think I'll go take another look at it.;;;;;;;;;;;;;x;
fe_plot.6.A;I can't wait!;;;;;;;;;;;;;x;
fe_plot.6.B;Who's that man in the cloak over there?;;;;;;;;;;;;;x;
fe_plot.7.desc;No! It's gone! What are we going to do?!;;;;;;;;;;;;;x;
fe_plot.7.A;Wait, I saw [FromFrom.GetTitledFirstName] talking with that strange man earlier...;;;;;;;;;;;;;x;
fe_plot.8.A;Who could have done this?;;;;;;;;;;;;;x;
fe_plot.9.desc;He was a thief! Someone hired him to steal the Emblem! I will find out who did this and why!;;;;;;;;;;;;;x;
