#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
eight_legends;Eight Legends;;;;;;;;;;;;;x
eight_legends_desc;This character is one of the Eight Legends, humanity's greatest generals during the Scouring.;;;;;;;;;;;;;x
#immortal;Ageless;;;;;;;;;;;;;x
#immortal_desc;Through magic acquired or innate, this character is practically immortal - [GetSheHe] will not die from natural causes as long as [GetHerHis] power does not fail [GetHerHim]. However, that does not mean GetSheHe] cannot be killed...;;;;;;;;;;;;;x
#disappeared;Disappeared;;;;;;;;;;;;;x
#disappeared_desc;This character has vanished completely. [GetSheHe] may still be alive - in another world or hidden in a remote part of this one. However, [GetSheHe] is dead for all practical purposes.;;;;;;;;;;;;;x
#disappeared_death;or vanished without a trace;;;;;;;;;;;;;x
sleeping;Slumbering;;;;;;;;;;;;;x
sleeping_desc;This character has fallen into a deep slumber, and no longer interacts with the mortal world.;;;;;;;;;;;;;x
sleeping_death;or fell into a deep slumber;;;;;;;;;;;;;x
bad_priest_light;Wicked Priest;Mauvais prêtre;Der gottlose Priester;;Sacerdote malvado;;;;;;;;;x
bad_priest_light_desc;The personality and habits of this priest are very inappropriate for [GetHerHis] position. And what's worse, [GetSheHe] has been unable to hide them from public view.;La personnalité et les mœurs de ce prêtre sont très inappropriées pour un homme de [GetHerHis] fonction. Pire encore, [GetSheHe] est incapable de faire cela discrètement.;Die Persönlichkeit und Gewohnheiten des Priesters sind äußerst unpassend für [GetHerHis] Stand. Auch vermag [GetSheHe] es keineswegs, seine schlechten Eigenschaften vor der Allgemeinheit zu verbergen.;;La personalidad y hábitos de este sacerdote son muy inapropiados para esta posición. Y lo peor es que no es capaz de esconderlos en público.;;;;;;;;;x
bad_priest_divine_sky;Unworthy Priest;Mauvais prêtre;Der gottlose Priester;;Sacerdote malvado;;;;;;;;;x
bad_priest_divine_sky_desc;The personality and habits of this priest are very inappropriate for [GetHerHis] position. And what's worse, [GetSheHe] has been unable to hide them from public view.;La personnalité et les mœurs de ce prêtre sont très inappropriées pour un homme de [GetHerHis] fonction. Pire encore, [GetSheHe] est incapable de faire cela discrètement.;Die Persönlichkeit und Gewohnheiten des Priesters sind äußerst unpassend für [GetHerHis] Stand. Auch vermag [GetSheHe] es keineswegs, seine schlechten Eigenschaften vor der Allgemeinheit zu verbergen.;;La personalidad y hábitos de este sacerdote son muy inapropiados para esta posición. Y lo peor es que no es capaz de esconderlos en público.;;;;;;;;;x
bad_priest_draconic;Wicked Priest;Mauvais prêtre;Der gottlose Priester;;Sacerdote malvado;;;;;;;;;x
bad_priest_draconic_desc;The personality and habits of this priest are very inappropriate for [GetHerHis] position. And what's worse, [GetSheHe] has been unable to hide them from public view.;La personnalité et les mœurs de ce prêtre sont très inappropriées pour un homme de [GetHerHis] fonction. Pire encore, [GetSheHe] est incapable de faire cela discrètement.;Die Persönlichkeit und Gewohnheiten des Priesters sind äußerst unpassend für [GetHerHis] Stand. Auch vermag [GetSheHe] es keineswegs, seine schlechten Eigenschaften vor der Allgemeinheit zu verbergen.;;La personalidad y hábitos de este sacerdote son muy inapropiados para esta posición. Y lo peor es que no es capaz de esconderlos en público.;;;;;;;;;x
bad_priest_divine_sky;Unworthy Priest;Mauvais prêtre;Der gottlose Priester;;Sacerdote malvado;;;;;;;;;x
bad_priest_divine_sky_desc;The personality and habits of this priest are very inappropriate for [GetHerHis] position. And what's worse, [GetSheHe] has been unable to hide them from public view.;La personnalité et les mœurs de ce prêtre sont très inappropriées pour un homme de [GetHerHis] fonction. Pire encore, [GetSheHe] est incapable de faire cela discrètement.;Die Persönlichkeit und Gewohnheiten des Priesters sind äußerst unpassend für [GetHerHis] Stand. Auch vermag [GetSheHe] es keineswegs, seine schlechten Eigenschaften vor der Allgemeinheit zu verbergen.;;La personalidad y hábitos de este sacerdote son muy inapropiados para esta posición. Y lo peor es que no es capaz de esconderlos en público.;;;;;;;;;x
dark_incapable;Comatose;;;;;;;;;;;;;x
dark_incapable_desc;This unfortunate character invited dark power within [GetHerselfHimself] to further [GetHerHis] study of elder magic, but was unable to resist the temptation to submit to the darkness. They live and breathe. Their eyes open and close. But... they do not move. And they do not speak.;;;;;;;;;;;;;x 
dark_incapable_death;comatose in bed;en sombrant dans le coma;komatös im Bett;;en estado de coma en la cama;;;;;;;;;x
dark_selfless;Selfless;;;;;;;;;;;;;x
dark_selfless_desc;To master elder magic, this character devoted [GetHerselfHimself] entirely to the darkness. [GetSheHeCap] has obtained great power, but at the cost of [GetHerHis] very identity. [GetSheHeCap] is now little more than a mirror that reflects the person addressing [GetHerHim]. All emotion and memory has been dissolved in a river of darkness.;;;;;;;;;;;;;x
dark_power_hungry;Power-obsessed;;;;;;;;;;;;;x
dark_power_hungry_desc;This character has lost [GetHerselfHimself] in the study of elder magic, erasing much of [GetHerHis] identity to attain more power. [GetSheHeCap] now pursues power for its own sake, and will stop at nothing to grow stronger.;;;;;;;;;;;;;x
phantom;Phantom;;;;;;;;;;;;;x
phantom_desc;This character is a phantom warrior.;;;;;;;;;;;;;x
morph;Morph;;;;;;;;;;;;;x
morph_desc;This character is a morph - a human-like monster created through dark magic.;;;;;;;;;;;;;x
war_dragon;War Dragon;;;;;;;;;;;;;x
war_dragon_desc;This character is an artificial dragon born only for combat.;;;;;;;;;;;;;x
#war_dragon_desc;This character is an artificial dragon born for combat. War Dragons were originally created by the dragons of Elibe during the Scouring to compensate for their inferior numbers, and turned the tide of the war until the creation of Elibe's legendary weapons.;;;;;;;;;;;;;x
demon_dragon;Demon Dragon;;;;;;;;;;;;;x
demon_dragon_desc;This character is a Demon Dragon - a transformed Divine Dragon capable of producing War Dragons.;;;;;;;;;;;;;x
dragon;Dragon;;;;;;;;;;;;;x
dragon_desc;This character is one of the dragonkin, legendary and powerful giant reptiles who ruled the world in ages past. When not in combat, dragons typically take human form to preserve their strength and health.;;;;;;;;;;;;;x
dragon_blood;Dragon;;;;;;;;;;;;;x
dragon_blood_desc;This character is of dragon lineage. Although [GetSheHe] does not have the raw strength of a true dragon, [GetSheHe] enjoys a degree of their power and longevity.;;;;;;;;;;;;;x
dragon_tribe;Dragon Tribe;;;;;;;;;;;;;x
dragon_tribe_desc;This character is one of the dragon tribe laguz of Tellius.;;;;;;;;;;;;;x
beast_tribe;Beast Tribe;;;;;;;;;;;;;x
beast_tribe_desc;This character is one of the beast tribe laguz of Tellius.;;;;;;;;;;;;;x
bird_tribe;Bird Tribe;;;;;;;;;;;;;x
bird_tribe_desc;This character is one of the bird tribe laguz of Tellius.;;;;;;;;;;;;;x
sympathy_light;Sympathy for Holy Light;;;;;;;;;;;;;x
sympathy_light_desc;This character, though not a believer in the Holy Light, has a special sympathy and understanding for the faith and its practitioners.;;;;;;;;;;;;;x
sympathy_draconic;Sympathy for Draconic;;;;;;;;;;;;;x
sympathy_draconic_desc;This character, though not a believer in a draconic faith, has a special sympathy and understanding for dragons and those who worship them.;;;;;;;;;;;;;x
sympathy_magic;Sympathy for Magic Users;;;;;;;;;;;;;x
sympathy_magic_desc;This character, though not a mage, has a special sympathy and understanding for magic and its practitioners.;;;;;;;;;;;;;x
class_archdruid;Archdruid;;;;;;;;;;;;;x
class_archdruid_desc;A druid who has perfected dark magic.;;;;;;;;;;;;;x
class_archer;Archer;;;;;;;;;;;;;x
class_archer_desc;Lightly protected warriors armed with bows. They can attack from a distance.;;;;;;;;;;;;;x
class_archer_female;Archer;;;;;;;;;;;;;x
class_archer_female_desc;Lightly protected warriors armed with bows. They can attack from a distance.;;;;;;;;;;;;;x
class_archsage;Archsage;;;;;;;;;;;;;x
class_archsage_desc;A title reserved only for those who have mastered all types of magic and all staves.;;;;;;;;;;;;;x
class_assassin;Assassin;;;;;;;;;;;;;x
class_assassin_desc;Masters of the killing arts. They have the ability to kill a foe with a single stroke.;;;;;;;;;;;;;x
class_assassin_female;Assassin;;;;;;;;;;;;;x
