#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
item_shop.welcome;What would you like to buy?;;;;;;;;;;;;;x
item_shop.more;More...;;;;;;;;;;;;;x
item_shop.exit;Exit;;;;;;;;;;;;;x
item_shop.healing_staves;Healing Staves;;;;;;;;;;;;;x
item_shop.status_staves;Status Staves;;;;;;;;;;;;;x
item_shop.special_staves;Special Staves;;;;;;;;;;;;;x
item_shop.healing_items;Healing Items;;;;;;;;;;;;;x
item_shop.other_items;Other Items;;;;;;;;;;;;;x
item_shop..title;;;;;;;;;;;;;;x
item_shop..desc;;;;;;;;;;;;;;x
item_shop..A;;;;;;;;;;;;;;x
item_shop..B;;;;;;;;;;;;;;x
item_shop..C;;;;;;;;;;;;;;x
item_shop..D;;;;;;;;;;;;;;x
