#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_aarberg;Aarberg;Aarberg;Aarberg;;Aarberg;;;;;;;;;x
b_aarberg_adj;Aarbergian;;aarberger;;;;;;;;;;;x
b_aarberg_2;Aarberg;Aarberg;Aarberg;;Aarberg;;;;;;;;;x
b_aarberg_2_adj;Aarbergian;;aarberger;;;;;;;;;;;x
b_aarwangen;Aarwangen;Aarwangen;Aarwangen;;Aarwangen;;;;;;;;;x
b_aarwangen_adj;Aarwangenian;;aarwangener;;;;;;;;;;;x
b_acaliss;Acaliss;Acaliss;Acaliss;;Acaliss;;;;;;;;;x
b_acaliss_adj;Acalissian;;acalisser;;;;;;;;;;;x
b_acaliss_2;Acaliss;Acaliss;Acaliss;;Acaliss;;;;;;;;;x
b_acaliss_2_adj;Acalissian;;acalisser;;;;;;;;;;;x
b_adma;Adma;Adma;Adma;;Adma;;;;;;;;;x
b_adma_adj;Adman;;admer;;;;;;;;;;;x
b_adma_2;Adma;Adma;Adma;;Adma;;;;;;;;;x
b_adma_2_adj;Adman;;admer;;;;;;;;;;;x
b_adma_3;Adma;Adma;Adma;;Adma;;;;;;;;;x
b_adma_3_adj;Adman;;admer;;;;;;;;;;;x
b_agriakona;Agriakona;Agriakona;Agriakona;;Agriakona;;;;;;;;;x
b_agriakona_adj;Agriakonan;;agriakoner;;;;;;;;;;;x
b_agridi;Agridi;Agridi;Agridi;;Agridi;;;;;;;;;x
b_agridi_adj;Agridian;;agrider;;;;;;;;;;;x
b_agylla;Agylla;Agylla;Agylla;;Agylla;;;;;;;;;x
b_agylla_adj;Agyllan;;agyller;;;;;;;;;;;x
b_agylla_2;Agylla;Agylla;Agylla;;Agylla;;;;;;;;;x
b_agylla_2_adj;Agyllan;;agyller;;;;;;;;;;;x
b_agylla_3;Agylla;Agylla;Agylla;;Agylla;;;;;;;;;x
b_agylla_3_adj;Agyllan;;agyller;;;;;;;;;;;x
b_aigle;Aigle;Aigle;Aigle;;Aigle;;;;;;;;;x
b_aigle_adj;Aiglean;;aigler;;;;;;;;;;;x
b_aigle_2;Aigle;Aigle;Aigle;;Aigle;;;;;;;;;x
b_aigle_2_adj;Aiglean;;aigler;;;;;;;;;;;x
b_aisarna;Aisarna;Aisarna;Aisarna;;Aisarna;;;;;;;;;x
