#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_alesia;Alesia;Alesia;Alesia;;Alesia;;;;;;;;;x
d_alesia_adj;Alesian;;aleser;;;;;;;;;;;x
d_appenzell;Appenzell;Appenzell;Appenzell;;Appenzell;;;;;;;;;x
d_appenzell_adj;Appenzellian;;appenzeller;;;;;;;;;;;x
d_aquleia;Aquleia;Aquleia;Aquleia;;Aquleia;;;;;;;;;x
d_aquleia_adj;Aquleian;;aquler;;;;;;;;;;;x
d_araphen;Araphen;Araphen;Araphen;;Araphen;;;;;;;;;x
d_araphen_adj;Araphenian;;araphener;;;;;;;;;;;x
d_araxa;Araxa;Araxa;Araxa;;Araxa;;;;;;;;;x
d_araxa_adj;Araxan;;araxer;;;;;;;;;;;x
d_arcadia;Arcadia;Arcadia;Arcadia;;Arcadia;;;;;;;;;x
d_arcadia_adj;Arcadian;;arcader;;;;;;;;;;;x
d_arles;Arles;Arles;Arles;;Arles;;;;;;;;;x
d_arles_adj;Arlesian;;arleser;;;;;;;;;;;x
d_arritim;Arritim;Arritim;Arritim;;Arritim;;;;;;;;;x
d_arritim_adj;Arritimian;;arritimer;;;;;;;;;;;x
d_badon;Badon;Badon;Badon;;Badon;;;;;;;;;x
d_badon_adj;Badonian;;badoner;;;;;;;;;;;x
d_basel;Basel;Basel;Basel;;Basel;;;;;;;;;x
d_basel_adj;Baselian;;baseler;;;;;;;;;;;x
d_bern;Bern;Bern;Bern;;Bern;;;;;;;;;x
d_bern_adj;Bernian;;berner;;;;;;;;;;;x
d_bulgar;Bulgar;Bulgar;Bulgar;;Bulgar;;;;;;;;;x
d_bulgar_adj;Bulgarian;;bulgarer;;;;;;;;;;;x
d_caelin;Caelin;Caelin;Caelin;;Caelin;;;;;;;;;x
d_caelin_adj;Caelinian;;caeliner;;;;;;;;;;;x
d_caerleon;Caerleon;Caerleon;Caerleon;;Caerleon;;;;;;;;;x
d_caerleon_adj;Caerleonian;;caerleoner;;;;;;;;;;;x
d_calach;Calach;Calach;Calach;;Calach;;;;;;;;;x
d_calach_adj;Calachian;;calacher;;;;;;;;;;;x
d_caledonia;Caledonia;Caledonia;Caledonia;;Caledonia;;;;;;;;;x
d_caledonia_adj;Caledonian;;caledoner;;;;;;;;;;;x
d_cardia;Cardia;Cardia;Cardia;;Cardia;;;;;;;;;x
d_cardia_adj;Cardian;;carder;;;;;;;;;;;x
d_carrhae;Carrhae;Carrhae;Carrhae;;Carrhae;;;;;;;;;x
d_carrhae_adj;Carrhaean;;carrher;;;;;;;;;;;x
